[21:20:33] UDP debugger initialized OK
[21:20:34] Initialized telemetry.
[21:20:34] Initialized sensor.
[21:21:07] [6.79987812042] Data read
[21:21:07] [6.81129908562] Data read
[21:21:07] [6.82406210899] Data read
[21:21:07] [6.83567714691] Data read
[21:21:07] [6.847645998] Data read
[21:21:07] [6.85983800888] Data read
[21:21:07] [6.8718020916] Data read
[21:21:07] [6.88352608681] Data read
[21:21:07] [6.89620709419] Data read
[21:21:07] [6.90739607811] Data read
[21:21:07] [6.92014217377] Data read
[21:21:07] [6.9315841198] Data read
[21:21:07] [6.94391512871] Data read
[21:21:07] [6.9550921917] Data read
[21:21:07] [6.96774411201] Data read
[21:21:07] [6.97960019112] Data read
[21:21:07] [6.99156498909] Data read
[21:21:07] [7.00344705582] Data read
[21:21:07] [7.01566910744] Data read
[21:21:07] [7.02751302719] Data read
[21:21:07] [7.03944516182] Data read
[21:21:07] [7.05140113831] Data read
[21:21:07] [7.06400704384] Data read
[21:21:07] [7.07530903816] Data read
[21:21:07] [7.08760404587] Data read
[21:21:07] [7.09896802902] Data read
[21:21:07] [7.11170911789] Data read
[21:21:07] [7.12291502953] Data read
[21:21:07] [7.13574099541] Data read
[21:21:07] [7.14707803726] Data read
[21:21:07] [7.15953612328] Data read
[21:21:07] [7.17096018791] Data read
[21:21:07] [7.1832921505] Data read
[21:21:07] [7.1949930191] Data read
[21:21:07] [7.20736598969] Data read
[21:21:07] [7.21932506561] Data read
[21:21:07] [7.23123908043] Data read
[21:21:07] [7.24351906776] Data read
[21:21:07] [7.25535202026] Data read
[21:21:07] [7.26722812653] Data read
[21:21:07] [7.27967905998] Data read
[21:21:07] Sent heartbeat (3)
[21:21:07] [7.29171609879] Data read
[21:21:07] [7.30350208282] Data read
[21:21:07] [7.31472301483] Data read
[21:21:07] [7.32760810852] Data read
[21:21:07] [7.33894515038] Data read
[21:21:07] [7.35138106346] Data read
[21:21:07] [7.36304116249] Data read
[21:21:07] [7.37534499168] Data read
[21:21:07] [7.38717007637] Data read
